TESTS & DOCUMENTS 3D PRINTED CONNECTOR ,100,3D PRINTING (level 1),FEEDBACK
UNDERSTANDS - WHAT SLICER SOFTWARE DOES,100,,Why didnt you include link to file?
UNDERTSANDS - WHAT AN .STL FILE IS,100,,Image of the tolerance test being used.
UNDERSTANDS - HOW TO USE SUPPORTS,100,,Identify the model of 3d printer?
UNDERSTANDS - WHAT G-CODE IS,100,,Look up the terms online and include information about what they are and how they are used?
OPTIMIZES DESIGN TO PRINT IN  LESS THAN 60min,100,,"What is an .STL? What is g-code? What is infill, bed level? How do supports work?"
USES THE RIGHT TERMINOLOGY,100,,
EXTRA EFFORT - TEST THE TOLERANCES OF THE 3D PRINTER,100,,
DOCUMENTS - HOW TO OPERATE 3D PRINTER,0,,
IDENTIFIES THE MODEL OF PRINTER USED,0,,
DESCRIBES - THE BED LEVELING PROCESS,0,,
DESCRIBES - WHAT INFILL IS,0,,
REFLECTS AND OBSERVES - HOW TO IMPROVE DESIGN?,0,,
INCLUDES LINK TO GCODE FILE,0,,
EXTRA EFFORT - MAKE CHANGES IN DESIGN TO IMPROVE 3D PRINT,0,,
,53%,,
