INTRODUCES OBJECTIVES OF THIS ASSIGNMENT,100%,RASPBERRY PI,NOTES:
DESCRIBES BASIC STEPS OF SETTING UP R-PI,100%,, 
IDENTIFIES TUTORIALS AND RESOURCES USED ,100%,, 
SCREEN CAPTURES TESTING AND EXPERIMENTING,100%,, 
IDENTIFIES CHALLENGES FACED IN LEARNING R-PI,100%,, 
INDENTIFIES SOLUTIONS TO CHALLENGES,100%,,
IDENTIFIES TECHNICAL PARAMETERS IN CODE,100%,,
INCLUDES LINKS TO DESIGN FILES,100%,,
MAKES CONNECTIONS TO FINAL PROJECT,100%,,
CLARITY & QUALITY  OF TEXT & IMAGE,100%,,
DETAIL - PRESENTS MULTIPLE STEPS  ,100%,,
,100%,,
