TESTS DIFFERENT IDEAS BEFORE SETTLING ON FINAL ,100,CARDBOARD PROTOTYPE,FEEDBACK
PROTOTYPE CLEARLY DESCRIBES PROJECT IDEA,100,,
DEMONSTRATES PROCESS OF MAKING,100,,
CUTS ARE CLEAN AND STRAIGHT (USES RULER & LIGHT PASSES),100,,
GLUE OR TAPE - JOINERY IS CLEAN,100,, 
OBJECT LOOKS REFINED - MARKINGS ARE CLEAN,100,,
DESCRIBE WHAT WAS DONE IN DETAIL,100,,
USES THE RIGHT TERMINOLOGY,100,,
REFLECTS ON IDEAS AND WHERE THEY COME FROM,100,,
WEBSITE IS ORGANIZED AND CLEAN,100,,
INCLUDES ONE LARGE GLAMOUR IMAGE OF PROTOTYPE,100,,
,100%,,
