PROTOTYPE CLEARLY DESCRIBES PROJECT IDEA,100,CARDBOARD PROTOTYPE,FEEBACK
DEMONSTRATES PROCESS OF MAKING,100,,Good documentation! More reflection needed. All photos should have some text.
CUTS ARE CLEAN AND STRAIGHT (USES RULER & LIGHT PASSES),100,,Circular economy has nothing to do with cheap materials. Verify that you understand a
GLUE OR TAPE - JOINERY IS CLEAN,100,,concept before including it.
OBJECT LOOKS REFINED - MARKINGS ARE CLEAN,100,,Some photos don't have anything to tell. Remove unecessary images.
DESCRIBE WHAT WAS DONE IN DETAIL,50,,
TESTS DIFFERENT IDEAS BEFORE SETTLING ON FINAL ,0,,
USES THE RIGHT TERMINOLOGY,0,,
REFLECTS ON IDEAS AND WHERE THEY COME FROM,0,,
WEBSITE IS ORGANIZED AND CLEAN,0,,
INCLUDES ONE LARGE GLAMOUR IMAGE OF PROTOTYPE,0,,
,50%,,
