WORKS WITH COMPOUND PATHS / SHAPES,100,WEEK 2 - VECTOR DRAWING,FEEDBACK
USES THE RIGHT TERMINOLOGY IN REFLECTIONS,100,, 
DOCUMENTS & DESCRIBES HOW THE TOOLS  WORK,100,, 
CREATES PROJECT WITH SPECIFIC SIZE,100,, 
EXPORTS SVG,100,, 
CONVERTS TEXT TO PATH ,100,,
USES ALIGN TOOLS,100,,
USES THE PEN TOOL,0,,
USES THE SUBSELECT TOOL,0,,
MANIPULATES THE JOINTS,0,,
MANIPULATES THE HANDLES TO REFINE PATH,0,,
TRACES AN IMAGE,0,,
EXTRA EFFORT - DEMONSTRATES A TOOL NOT MENTIONED,0,,
CONVERTS LOGO INTO OUTLINE ONLY,0,,
VECTORIZES BORDER,0,,
INCLUDES LINK TO FINAL DESIGN FILE,0,,
,44%,,
