DOCUMENTS - HOW TO OPERATE 3D PRINTER,100,3D PRINTING (level 1),FEEDBACK
IDENTIFIES THE MODEL OF PRINTER USED,100,,Good.
DESCRIBES - THE BED LEVELING PROCESS,100,,Supports are not the same as brim & raft but related.
DESCRIBES - WHAT INFILL IS,100,,G-Code mentioned but not described (1/2pt)
UNDERSTANDS - WHAT SLICER SOFTWARE DOES,100,,Wheel documented but not tested. 
UNDERTSANDS - WHAT AN .STL FILE IS,100,,
OPTIMIZES DESIGN TO PRINT IN  LESS THAN 60min,100,,
REFLECTS AND OBSERVES - HOW TO IMPROVE DESIGN?,100,,
USES THE RIGHT TERMINOLOGY,100,,
INCLUDES LINK TO GCODE FILE,100,,
EXTRA EFFORT - TEST THE TOLERANCES OF THE 3D PRINTER,100,,
UNDERSTANDS - WHAT G-CODE IS,50,,
UNDERSTANDS - HOW TO USE SUPPORTS,0,,
TESTS & DOCUMENTS 3D PRINTED CONNECTOR ,0,,
EXTRA EFFORT - MAKE CHANGES IN DESIGN TO IMPROVE 3D PRINT,0,,
,77%,,
