REVIEWS CLASS PAGE AND ASKS QUESTIONS,100,LASER CUTTING (LEVEL 1),NOTES:
INTRODUCES OBJECTIVES OF THIS ASSIGNMENT,100,,Include picture of your finish press-fit sample
IDENTIFIES KEY DESIGN ELEMENTS IN DESIGN PROCESS,100,,include link to your design file
DOCUMENTS BASIC MACHINE OPERATION,100,, 
IDENTIFIES SETTING IN JOB CONTROL SOFTWARE,100,, 
MORE DETAIL - PRESENTS MULTIPLE STEPS  ,100,,
COMPLETES SAFETY QUIZ,100,,
CLARITY & QUALITY  OF TEXT & IMAGE,100,,
FINISHES PRESS-FIT SAMPLE,50,,
INCLUDES LINKS TO DESIGN FILES,0,,
,85%,,
