WORKS WITH COMPOUND PATHS / SHAPES,100,WEEK 2 - VECTOR DRAWING,FEEDBACK
USESTHE SUBSELECT TOOL,100,,More detail needed. 
MANIPULATES THE JOINTS,100,,Verify that you can demonstrate an understanding for how the missing items in this list work.
MANIPULATES THE HANDLES TO REFINE PATH,100,, 
USES ALIGN TOOLS ,100,,
DOCUMENTS & DESCRIBES HOW THE TOOLS  WORK,0,,
CONVERTS TEXT TO PATH ,0,,
USES THE PEN TOOL,0,,
OUTLINES STROKES,0,,
TRACES AN IMAGE,0,,
USES THE RIGHT TERMINOLOGY IN REFLECTIONS,0,,
EXTRA EFFORT - DEMONSTRATES A TOOL NOT MENTIONED,0,,
CREATES PROJECT WITH SPECIFIC SIZE,0,,
CONVERTS LOGO INTO OUTLINE ONLY,0,,
EXPORTS SVG,0,,
INCLUDES LINK TO FINAL DESIGN FILE,0,,
,31%,,
